verb_infinitive,verb_meaning,conjugation_mood,conjugation_tense,conjugation_person,conjugation_form,question_sentence,question_answer,question_translation,question_hint,question_error,generator_prompt_index,generator_model,generator_temperature,validator_used,validator_prompt_index,validator_is_valid,validator_has_unique_answer,validator_reason,validator_rewrite_advice
ofrecer,"提供、提议,建议、出价,报价、呈现,展现",命令式,命令式,第二人称复数,ofreced,,,,第二人称复数，命令式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
ofrecer,"提供、提议,建议、出价,报价、呈现,展现",命令式,命令式,第二人称复数,ofreced,,,,第二人称复数，命令式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
adquirir,获得，取得、购买、习得、收购,陈述式,将来未完成时,第二人称单数,adquirirás,,,,第二人称单数，将来未完成时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
adquirir,获得，取得、购买、习得、收购,陈述式,将来未完成时,第二人称单数,adquirirás,,,,第二人称单数，将来未完成时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
desayunar,吃早餐,命令式,否定命令式,第二人称单数,no desayunes,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
desayunar,吃早餐,命令式,否定命令式,第二人称单数,no desayunes,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
enfurecer,激怒、愤怒、发怒,陈述式,过去未完成时,第一人称复数,enfurecíamos,,,,第一人称复数，过去未完成时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
enfurecer,激怒、愤怒、发怒,陈述式,过去未完成时,第一人称复数,enfurecíamos,,,,第一人称复数，过去未完成时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
evitar,避免、防止、避开,条件式,简单条件式,第一人称复数,evitaríamos,,,,第一人称复数，简单条件式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
evitar,避免、防止、避开,条件式,简单条件式,第一人称复数,evitaríamos,,,,第一人称复数，简单条件式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
enfurecer,激怒、愤怒、发怒,陈述式,简单过去时,第三人称复数,enfurecieron,,,,第三人称复数，简单过去时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
enfurecer,激怒、愤怒、发怒,陈述式,简单过去时,第三人称复数,enfurecieron,,,,第三人称复数，简单过去时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
atrever,敢、冒险,陈述式,简单过去时,第一人称复数,atrevimos,,,,第一人称复数，简单过去时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
atrever,敢、冒险,陈述式,简单过去时,第一人称复数,atrevimos,,,,第一人称复数，简单过去时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
dotar,配备、赋予、提供,陈述式,简单过去时,第三人称复数,dotaron,,,,第三人称复数，简单过去时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
dotar,配备、赋予、提供,陈述式,简单过去时,第三人称复数,dotaron,,,,第三人称复数，简单过去时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
ser,是、成为、存在,虚拟式,现在时,第三人称单数,sea,,,,第三人称单数，现在时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
ser,是、成为、存在,虚拟式,现在时,第三人称单数,sea,,,,第三人称单数，现在时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
romper,"打破,打碎、破裂,断开、违反,违背、中断,打断",条件式,简单条件式,第三人称复数,romperían,,,,第三人称复数，简单条件式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
romper,"打破,打碎、破裂,断开、违反,违背、中断,打断",条件式,简单条件式,第三人称复数,romperían,,,,第三人称复数，简单条件式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
volver,返回，回来、恢复、变成,条件式,简单条件式,第二人称复数,volveríais,,,,第二人称复数，简单条件式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
volver,返回，回来、恢复、变成,条件式,简单条件式,第二人称复数,volveríais,,,,第二人称复数，简单条件式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
devolver,"归还,退还、反弹,反射",陈述式,将来未完成时,第一人称复数,devolveremos,,,,第一人称复数，将来未完成时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
devolver,"归还,退还、反弹,反射",陈述式,将来未完成时,第一人称复数,devolveremos,,,,第一人称复数，将来未完成时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
partir,出发、分开、切,命令式,否定命令式,第二人称单数,no partas,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
partir,出发、分开、切,命令式,否定命令式,第二人称单数,no partas,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
estafar,诈骗、欺骗、欺诈,陈述式,过去未完成时,第三人称复数,estafaban,,,,第三人称复数，过去未完成时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
estafar,诈骗、欺骗、欺诈,陈述式,过去未完成时,第三人称复数,estafaban,,,,第三人称复数，过去未完成时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
realizar,实现、完成、进行,陈述式,简单过去时,第一人称复数,realizamos,,,,第一人称复数，简单过去时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
realizar,实现、完成、进行,陈述式,简单过去时,第一人称复数,realizamos,,,,第一人称复数，简单过去时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
interesar,"使感兴趣,引起兴趣",陈述式,简单过去时,第二人称单数,interesaste,,,,第二人称单数，简单过去时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
interesar,"使感兴趣,引起兴趣",陈述式,简单过去时,第二人称单数,interesaste,,,,第二人称单数，简单过去时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
atrever,敢、冒险,命令式,否定命令式,第二人称单数,no atrevas,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
atrever,敢、冒险,命令式,否定命令式,第二人称单数,no atrevas,,,,第二人称单数，否定命令式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
apear,下马，下车、卸货,条件式,简单条件式,第三人称单数,apearía,,,,第三人称单数，简单条件式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
apear,下马，下车、卸货,条件式,简单条件式,第三人称单数,apearía,,,,第三人称单数，简单条件式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
deber,应该，应当、欠，负债,陈述式,一般现在时,第一人称单数,debo,,,,第一人称单数，一般现在时,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
deber,应该，应当、欠，负债,陈述式,一般现在时,第一人称单数,debo,,,,第一人称单数，一般现在时,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
empezar,开始、着手、起始,命令式,否定命令式,第一人称复数,no empecemos,,,,第一人称复数，否定命令式,getaddrinfo ENOTFOUND api.deepseek.com,1,deepseek-chat,0.7,true,1,,,getaddrinfo ENOTFOUND api.deepseek.com,
empezar,开始、着手、起始,命令式,否定命令式,第一人称复数,no empecemos,,,,第一人称复数，否定命令式,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,1,qwen3-max,0.7,true,1,,,getaddrinfo ENOTFOUND dashscope.aliyuncs.com,
